         40509565 function calls (40497793 primitive calls) in 14.418 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      108    0.001    0.000    0.053    0.000 _distn_infrastructure.py:706(_construct_doc)
       19    0.051    0.003    0.053    0.003 {built-in method matplotlib._image.resample}
        1    0.000    0.000    0.052    0.052 animation.py:20(<module>)
        1    0.000    0.000    0.051    0.051 _bvp.py:1(<module>)
       19    0.006    0.000    0.048    0.003 colors.py:440(__call__)
        8    0.000    0.000    0.046    0.006 animation.py:117(wrapper)
        8    0.000    0.000    0.046    0.006 animation.py:364(isAvailable)
        6    0.000    0.000    0.046    0.008 subprocess.py:586(__init__)
        6    0.000    0.000    0.046    0.008 subprocess.py:954(_execute_child)
        6    0.045    0.008    0.045    0.008 {built-in method _winapi.CreateProcess}
      468    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      468    0.043    0.000    0.043    0.000 {built-in method marshal.loads}
    48/40    0.001    0.000    0.043    0.001 axis.py:67(__init__)
      133    0.001    0.000    0.042    0.000 core.py:2796(__new__)
        4    0.000    0.000    0.042    0.010 axis.py:1128(draw)
       19    0.008    0.000    0.042    0.002 colors.py:830(__call__)
      470    0.024    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:830(get_data)
        1    0.000    0.000    0.041    0.041 pyplot.py:3136(imshow)
        1    0.000    0.000    0.037    0.037 figure.py:12(<module>)
        1    0.000    0.000    0.037    0.037 contour.py:4(<module>)
       95    0.000    0.000    0.036    0.000 core.py:6286(array)
        2    0.000    0.000    0.036    0.018 pyplot.py:932(gca)
        2    0.000    0.000    0.036    0.018 figure.py:1327(gca)
        1    0.000    0.000    0.036    0.036 figure.py:940(add_subplot)
        1    0.000    0.000    0.036    0.036 _subplots.py:23(__init__)
        1    0.000    0.000    0.036    0.036 _base.py:432(__init__)
        1    0.000    0.000    0.033    0.033 __init__.py:18(pylab_setup)
        1    0.000    0.000    0.032    0.032 rcsetup.py:15(<module>)
        1    0.000    0.000    0.032    0.032 backend_qt5agg.py:3(<module>)
       57    0.000    0.000    0.032    0.001 colors.py:803(process_value)
        1    0.000    0.000    0.031    0.031 _subplots.py:1(<module>)
       12    0.000    0.000    0.030    0.003 axis.py:729(cla)
        1    0.000    0.000    0.030    0.030 backend_qt5.py:1(<module>)
        1    0.000    0.000    0.029    0.029 fontconfig_pattern.py:7(<module>)
       19    0.029    0.002    0.029    0.002 {method 'take' of 'numpy.ndarray' objects}
    16/12    0.000    0.000    0.029    0.002 axis.py:767(reset_ticks)
        1    0.000    0.000    0.028    0.028 __init__.py:7(<module>)
      144    0.002    0.000    0.028    0.000 lines.py:297(__init__)
     1876    0.001    0.000    0.028    0.000 re.py:286(_compile)
        1    0.000    0.000    0.028    0.028 figureoptions.py:8(<module>)
        1    0.000    0.000    0.027    0.027 formlayout.py:34(<module>)
       14    0.000    0.000    0.027    0.002 six.py:91(__get__)
       10    0.000    0.000    0.027    0.003 six.py:159(_resolve)
       14    0.000    0.000    0.027    0.002 six.py:80(_import_module)
        1    0.000    0.000    0.027    0.027 qt_compat.py:2(<module>)
        1    0.000    0.000    0.027    0.027 pyplot.py:428(figure)
        1    0.000    0.000    0.026    0.026 backend_qt5agg.py:36(new_figure_manager)
      112    0.000    0.000    0.026    0.000 re.py:231(compile)
        1    0.000    0.000    0.026    0.026 request.py:68(<module>)
        1    0.000    0.000    0.026    0.026 ltisys.py:4(<module>)
      729    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      115    0.000    0.000    0.026    0.000 sre_compile.py:557(compile)
        1    0.000    0.000    0.026    0.026 pyparsing.py:61(<module>)
        1    0.000    0.000    0.025    0.025 __init__.py:173(<module>)
        1    0.000    0.000    0.025    0.025 _axes.py:1(<module>)
      673    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
       80    0.001    0.000    0.024    0.000 __init__.py:359(namedtuple)
        1    0.000    0.000    0.024    0.024 basic.py:5(<module>)
        1    0.000    0.000    0.023    0.023 interpolate.py:2(<module>)
        4    0.000    0.000    0.022    0.006 axis.py:961(_update_ticks)
        1    0.000    0.000    0.022    0.022 text.py:3(<module>)
        1    0.000    0.000    0.022    0.022 _base.py:968(cla)
        1    0.000    0.000    0.022    0.022 orthogonal.py:72(<module>)
    24/20    0.000    0.000    0.022    0.001 axis.py:1724(_get_tick)
        1    0.000    0.000    0.021    0.021 __init__.py:169(<module>)
    24/20    0.000    0.000    0.021    0.001 axis.py:2055(_get_tick)
        1    0.000    0.000    0.021    0.021 backend_qt5agg.py:47(new_figure_manager_given_figure)
        4    0.000    0.000    0.021    0.005 axis.py:969(<listcomp>)
       35    0.000    0.000    0.021    0.001 axis.py:908(iter_ticks)
        1    0.000    0.000    0.020    0.020 __init__.py:228(<module>)
        1    0.000    0.000    0.020    0.020 client.py:69(<module>)
       17    0.000    0.000    0.020    0.001 backend_qt5agg.py:205(blit)
