         40509565 function calls (40497793 primitive calls) in 14.418 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 matfuncs.py:5(<module>)
        1    0.000    0.000    0.001    0.001 fftpack.py:32(<module>)
      144    0.000    0.000    0.001    0.000 lines.py:1086(set_linestyle)
       77    0.000    0.000    0.001    0.000 backend_bases.py:724(new_gc)
       32    0.000    0.000    0.001    0.000 ticker.py:1703(set_params)
       65    0.000    0.000    0.001    0.000 font_manager.py:1000(get)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 signaltools.py:4(<module>)
    28/16    0.000    0.000    0.001    0.000 pyparsing.py:3525(parseImpl)
        1    0.001    0.001    0.001    0.001 datetime.py:5(<module>)
        2    0.000    0.000    0.001    0.001 pyparsing.py:4741(srange)
       77    0.000    0.000    0.001    0.000 backend_bases.py:786(__init__)
       97    0.000    0.000    0.001    0.000 transforms.py:2648(__init__)
        1    0.000    0.000    0.001    0.001 backend_agg.py:21(<module>)
        2    0.000    0.000    0.001    0.000 _base.py:866(set_position)
       22    0.000    0.000    0.001    0.000 linecache.py:53(checkcache)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
       20    0.000    0.000    0.001    0.000 core.py:3587(shrink_mask)
        1    0.000    0.000    0.001    0.001 win.py:2(<module>)
        2    0.000    0.000    0.001    0.000 transforms.py:1036(set)
        1    0.000    0.000    0.001    0.001 backend_qt5.py:308(mouseReleaseEvent)
     1845    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 backend_bases.py:1919(button_release_event)
     1208    0.001    0.000    0.001    0.000 six.py:586(iteritems)
        1    0.000    0.000    0.001    0.001 trf_linear.py:2(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
      141    0.000    0.000    0.001    0.000 enum.py:795(__or__)
      784    0.001    0.000    0.001    0.000 _weakrefset.py:26(__exit__)
     2254    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 arpack.py:7(<module>)
        1    0.000    0.000    0.001    0.001 image.py:5(<module>)
        1    0.000    0.000    0.001    0.001 signals.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _bsplines.py:1(<module>)
      470    0.000    0.000    0.001    0.000 abc.py:178(__instancecheck__)
       21    0.000    0.000    0.001    0.000 {method 'view' of 'numpy.ndarray' objects}
     1085    0.001    0.000    0.001    0.000 weakref.py:109(remove)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:54(decorator)
        1    0.000    0.000    0.001    0.001 _max_len_seq.py:4(<module>)
        1    0.000    0.000    0.001    0.001 _binned_statistic.py:1(<module>)
        1    0.000    0.000    0.001    0.001 axis.py:3(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:781(matplotlib_fname)
      945    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
       36    0.000    0.000    0.001    0.000 backend_bases.py:2831(_set_cursor)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        1    0.000    0.000    0.001    0.001 _upfirdn.py:34(<module>)
      437    0.001    0.000    0.001    0.000 function_base.py:2674(__init__)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:43(decorate)
      915    0.001    0.000    0.001    0.000 core.py:3418(__setattr__)
       24    0.000    0.000    0.001    0.000 core.py:177(iter_style_files)
        1    0.000    0.000    0.001    0.001 basic.py:3(<module>)
        1    0.000    0.000    0.001    0.001 decorator.py:33(<module>)
        4    0.000    0.000    0.001    0.000 warnings.py:119(filterwarnings)
     1295    0.001    0.000    0.001    0.000 weakref.py:334(__new__)
       24    0.000    0.000    0.001    0.000 axis.py:361(_get_text1_transform)
        1    0.000    0.000    0.001    0.001 _validation.py:1(<module>)
      306    0.000    0.000    0.001    0.000 re.py:184(sub)
        1    0.000    0.000    0.001    0.001 blas.py:143(<module>)
       24    0.000    0.000    0.001    0.000 axis.py:495(_get_text1_transform)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
       43    0.000    0.000    0.001    0.000 core.py:143(get_object_signature)
        1    0.000    0.000    0.001    0.001 _numdiff.py:1(<module>)
       12    0.000    0.000    0.001    0.000 backend_agg.py:143(draw_path)
       66    0.000    0.000    0.001    0.000 pyparsing.py:1799(__add__)
       24    0.000    0.000    0.001    0.000 _base.py:713(get_xaxis_text1_transform)
       23    0.000    0.000    0.001    0.000 abc.py:132(__new__)
        4    0.000    0.000    0.001    0.000 backend_qt5.py:695(set_cursor)
       24    0.000    0.000    0.001    0.000 _base.py:793(get_yaxis_text1_transform)
        1    0.000    0.000    0.001    0.001 linesearch.py:13(<module>)
        1    0.000    0.000    0.001    0.001 spectral.py:2(<module>)
        4    0.001    0.000    0.001    0.000 {built-in method setCursor}
     1243    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:402(parent)
        1    0.000    0.000    0.001    0.001 subprocess.py:14(<module>)
      260    0.000    0.000    0.001    0.000 artist.py:884(<listcomp>)
       22    0.000    0.000    0.001    0.000 cbook.py:188(deprecate)
      228    0.000    0.000    0.001    0.000 backend_qt5.py:643(sizeHint)
      329    0.000    0.000    0.001    0.000 artist.py:634(set_figure)
       12    0.001    0.000    0.001    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       38    0.000    0.000    0.001    0.000 core.py:3087(view)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        1    0.000    0.000    0.001    0.001 kde.py:20(<module>)
      349    0.000    0.000    0.001    0.000 artist.py:74(_stale_axes_callback)
        1    0.000    0.000    0.001    0.001 odepack.py:2(<module>)
       54    0.000    0.000    0.001    0.000 numeric.py:2667(seterr)
     3938    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        8    0.000    0.000    0.001    0.000 spines.py:278(draw)
       78    0.000    0.000    0.001    0.000 transforms.py:2416(__init__)
        1    0.000    0.000    0.001    0.001 zeros.py:1(<module>)
      202    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
     1892    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:838(__exit__)
      114    0.000    0.000    0.001    0.000 core.py:1668(make_mask_none)
       24    0.000    0.000    0.001    0.000 axis.py:364(_get_text2_transform)
     2021    0.001    0.000    0.001    0.000 inspect.py:159(isfunction)
        4    0.000    0.000    0.001    0.000 axis.py:1764(_get_pixel_distance_along_axis)
        1    0.000    0.000    0.001    0.001 backend_qt5.py:284(mousePressEvent)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.001    0.001 lbfgsb.py:9(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
       24    0.000    0.000    0.001    0.000 _base.py:741(get_xaxis_text2_transform)
        1    0.000    0.000    0.001    0.001 backend_bases.py:3058(release_zoom)
      119    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        6    0.000    0.000    0.001    0.000 patches.py:87(__init__)
       64    0.000    0.000    0.001    0.000 transforms.py:2550(__init__)
        1    0.000    0.000    0.001    0.001 patches.py:3152(ArrowStyle)
       79    0.000    0.000    0.001    0.000 docstring.py:128(<lambda>)
      854    0.000    0.000    0.001    0.000 cbook.py:678(iterable)
        1    0.000    0.000    0.001    0.001 filter_design.py:2(<module>)
        1    0.001    0.001    0.001    0.001 {built-in method nt.replace}
        2    0.000    0.000    0.001    0.000 utils.py:1(<module>)
1126/1075    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.001    0.001 _base.py:948(_gen_axes_spines)
       23    0.000    0.000    0.001    0.000 backend_agg.py:122(draw_markers)
        6    0.000    0.000    0.001    0.000 transforms.py:723(union)
     3336    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.001    0.001 backend_bases.py:1903(button_press_event)
      234    0.000    0.000    0.001    0.000 font_manager.py:720(__hash__)
      109    0.000    0.000    0.001    0.000 functools.py:44(update_wrapper)
      145    0.000    0.000    0.001    0.000 artist.py:856(_update_property)
       67    0.000    0.000    0.001    0.000 pyparsing.py:3368(__init__)
        4    0.000    0.000    0.001    0.000 spines.py:453(linear_spine)
      240    0.000    0.000    0.001    0.000 axis.py:291(_set_artist_props)
       24    0.000    0.000    0.001    0.000 axis.py:498(_get_text2_transform)
        1    0.000    0.000    0.001    0.001 flinalg.py:5(<module>)
 1090/922    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
       23    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      937    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
        1    0.000    0.000    0.001    0.001 __init__.py:14(<module>)
     1892    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:834(__enter__)
        1    0.000    0.000    0.001    0.001 defmatrix.py:1(<module>)
        1    0.000    0.000    0.001    0.001 quadpack.py:3(<module>)
       37    0.000    0.000    0.001    0.000 backend_qt5.py:690(set_message)
      370    0.000    0.000    0.001    0.000 inspect.py:485(unwrap)
      115    0.000    0.000    0.001    0.000 sre_parse.py:828(fix_flags)
       24    0.000    0.000    0.001    0.000 _base.py:820(get_yaxis_text2_transform)
    24/10    0.000    0.000    0.001    0.000 pyparsing.py:3715(parseImpl)
        1    0.000    0.000    0.001    0.001 backend_qt5.py:443(closeEvent)
       28    0.000    0.000    0.001    0.000 text.py:316(update_from)
        1    0.000    0.000    0.001    0.001 version.py:93(StrictVersion)
       12    0.000    0.000    0.001    0.000 enum.py:623(<listcomp>)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3238(__init__)
      262    0.000    0.000    0.001    0.000 artist.py:341(set_transform)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        1    0.000    0.000    0.001    0.001 tnc.py:33(<module>)
    52/15    0.000    0.000    0.001    0.000 abc.py:194(__subclasscheck__)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(create_module)
     5097    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
  156/154    0.000    0.000    0.001    0.000 transforms.py:2567(get_matrix)
       11    0.000    0.000    0.001    0.000 decorator.py:168(make)
      175    0.000    0.000    0.001    0.000 transforms.py:1683(transform)
     1295    0.001    0.000    0.001    0.000 weakref.py:339(__init__)
        1    0.000    0.000    0.001    0.001 cobyla.py:11(<module>)
        1    0.000    0.000    0.001    0.001 nnls.py:1(<module>)
     5142    0.001    0.000    0.001    0.000 artist.py:734(get_animated)
        1    0.000    0.000    0.001    0.001 request.py:941(AbstractBasicAuthHandler)
       11    0.000    0.000    0.001    0.000 decorator.py:94(__init__)
        1    0.000    0.000    0.001    0.001 pseudo_diffs.py:3(<module>)
       18    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       37    0.000    0.000    0.001    0.000 transforms.py:1770(transform_point)
       14    0.000    0.000    0.001    0.000 _version.py:55(__init__)
     2062    0.000    0.000    0.001    0.000 sre_parse.py:248(match)
       41    0.000    0.000    0.001    0.000 transforms.py:1066(__init__)
        4    0.000    0.000    0.001    0.000 tempfile.py:505(close)
       54    0.000    0.000    0.001    0.000 pyplot.py:2505(<lambda>)
        4    0.000    0.000    0.001    0.000 tempfile.py:453(close)
     1407    0.000    0.000    0.001    0.000 core.py:6192(isMaskedArray)
     2835    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
        4    0.000    0.000    0.001    0.000 spines.py:44(__init__)
        4    0.001    0.000    0.001    0.000 {method 'close' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.001    0.001 slsqp.py:14(<module>)
       19    0.000    0.000    0.001    0.000 core.py:3717(filled)
       43    0.000    0.000    0.001    0.000 _inspect.py:98(getargspec)
     1475    0.000    0.000    0.001    0.000 artist.py:1183(is_alias)
       80    0.000    0.000    0.001    0.000 cm.py:51(_reverse_cmap_spec)
      111    0.000    0.000    0.001    0.000 core.py:3209(__getitem__)
       32    0.000    0.000    0.001    0.000 ticker.py:1695(_staircase)
       23    0.000    0.000    0.001    0.000 transforms.py:2716(get_transformed_points_and_affine)
      646    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:355(__init__)
     5769    0.001    0.000    0.001    0.000 inspect.py:2480(name)
     6080    0.001    0.000    0.001    0.000 inspect.py:2492(kind)
      179    0.000    0.000    0.001    0.000 transforms.py:1763(transform_affine)
        2    0.000    0.000    0.001    0.000 function_base.py:1(<module>)
        2    0.000    0.000    0.001    0.000 __init__.py:9(<module>)
      101    0.000    0.000    0.001    0.000 font_manager.py:813(set_family)
        9    0.000    0.000    0.001    0.000 backend_bases.py:2376(mpl_disconnect)
      670    0.000    0.000    0.001    0.000 six.py:583(itervalues)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.001    0.001 encoders.py:5(<module>)
       70    0.000    0.000    0.001    0.000 artist.py:953(update_from)
      784    0.000    0.000    0.001    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.001    0.001 rrule.py:7(<module>)
        1    0.000    0.000    0.001    0.001 backend_agg.py:85(__init__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2266(_IPv6Constants)
       23    0.000    0.000    0.001    0.000 transforms.py:2702(_revalidate)
        9    0.000    0.000    0.001    0.000 cbook.py:529(disconnect)
       13    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
       32    0.000    0.000    0.001    0.000 cm.py:34(revcmap)
  542/540    0.000    0.000    0.001    0.000 pyparsing.py:349(__init__)
        1    0.000    0.000    0.001    0.001 pyplot.py:1882(get_plot_commands)
      194    0.001    0.000    0.001    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      144    0.000    0.000    0.001    0.000 lines.py:753(set_transform)
  653/319    0.000    0.000    0.001    0.000 transforms.py:2353(_get_is_affine)
     1089    0.000    0.000    0.001    0.000 {built-in method builtins.max}
       28    0.000    0.000    0.001    0.000 ipaddress.py:2160(__init__)
      288    0.000    0.000    0.001    0.000 lines.py:1054(_split_drawstyle_linestyle)
       39    0.000    0.000    0.001    0.000 nosetester.py:152(__init__)
       10    0.000    0.000    0.001    0.000 enum.py:758(_missing_)
       65    0.000    0.000    0.001    0.000 ntpath.py:199(split)
        1    0.000    0.000    0.001    0.001 quiver.py:15(<module>)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base.py:1(<module>)
      214    0.000    0.000    0.001    0.000 ntpath.py:121(splitdrive)
       27    0.000    0.000    0.001    0.000 numeric.py:3069(__exit__)
      236    0.000    0.000    0.000    0.000 pyparsing.py:1121(__init__)
       39    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.point_in_path}
        9    0.000    0.000    0.000    0.000 extras.py:238(__init__)
       10    0.000    0.000    0.000    0.000 enum.py:765(_create_pseudo_member_)
        9    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
      331    0.000    0.000    0.000    0.000 _util.py:292(<listcomp>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:1916(BoxStyle)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
      469    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
     1260    0.000    0.000    0.000    0.000 colors.py:203(<genexpr>)
      469    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       46    0.000    0.000    0.000    0.000 text.py:901(get_prop_tup)
      641    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:698(find_spec)
       35    0.000    0.000    0.000    0.000 transforms.py:2524(get_matrix)
        1    0.000    0.000    0.000    0.000 wintypes.py:2(<module>)
      115    0.000    0.000    0.000    0.000 text.py:238(update)
       38    0.000    0.000    0.000    0.000 backend_qt5.py:268(mouseEventCoords)
        1    0.000    0.000    0.000    0.000 __init__.py:2(<module>)
      331    0.000    0.000    0.000    0.000 _util.py:306(<listcomp>)
      957    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       35    0.000    0.000    0.000    0.000 _base.py:3366(format_coord)
       56    0.000    0.000    0.000    0.000 ntpath.py:74(join)
        2    0.000    0.000    0.000    0.000 axis.py:1815(_update_label_position)
       10    0.000    0.000    0.000    0.000 enum.py:837(_decompose)
       22    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
      623    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(find_spec)
       27    0.000    0.000    0.000    0.000 numeric.py:3064(__enter__)
     34/5    0.000    0.000    0.000    0.000 pyparsing.py:3297(streamline)
      144    0.000    0.000    0.000    0.000 lines.py:653(set_data)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1559(_IPv4Constants)
      430    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 backend_qt5.py:523(_widgetclosed)
        8    0.000    0.000    0.000    0.000 {built-in method addAction}
        1    0.000    0.000    0.000    0.000 _base.py:3475(_set_view_from_bbox)
       32    0.000    0.000    0.000    0.000 shape_base.py:239(hstack)
        2    0.000    0.000    0.000    0.000 axis.py:2143(_update_label_position)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:49(destroy)
        1    0.000    0.000    0.000    0.000 error.py:12(<module>)
       36    0.000    0.000    0.000    0.000 axis.py:590(update_position)
        2    0.000    0.000    0.000    0.000 _base.py:2835(set_xlim)
        1    0.000    0.000    0.000    0.000 _plotutils.py:1(<module>)
       35    0.000    0.000    0.000    0.000 transforms.py:1448(transform_path_non_affine)
        1    0.000    0.000    0.000    0.000 _trustregion_dogleg.py:1(<module>)
      324    0.000    0.000    0.000    0.000 __init__.py:424(<genexpr>)
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1460(__init__)
        1    0.000    0.000    0.000    0.000 markers.py:84(<module>)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
        1    0.000    0.000    0.000    0.000 quiver.py:890(Barbs)
       35    0.000    0.000    0.000    0.000 axis.py:455(update_position)
       29    0.000    0.000    0.000    0.000 ntpath.py:538(abspath)
      116    0.000    0.000    0.000    0.000 pyparsing.py:732(copy)
        4    0.000    0.000    0.000    0.000 ticker.py:635(set_locs)
      135    0.000    0.000    0.000    0.000 transforms.py:1791(inverted)
        1    0.000    0.000    0.000    0.000 mstats.py:94(<module>)
       58    0.000    0.000    0.000    0.000 path.py:172(_fast_from_codes_and_verts)
       56    0.000    0.000    0.000    0.000 sre_compile.py:376(_mk_bitmap)
       26    0.000    0.000    0.000    0.000 core.py:6493(__init__)
        1    0.000    0.000    0.000    0.000 _stats_mstats_common.py:1(<module>)
       64    0.000    0.000    0.000    0.000 pyparsing.py:2791(parseImpl)
       35    0.000    0.000    0.000    0.000 transforms.py:2505(__init__)
     2890    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     3864    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      114    0.000    0.000    0.000    0.000 fromnumeric.py:1565(shape)
       67    0.000    0.000    0.000    0.000 pyparsing.py:3697(__init__)
      841    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
        4    0.000    0.000    0.000    0.000 axis.py:708(_set_scale)
       26    0.000    0.000    0.000    0.000 core.py:6498(getdoc)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
       61    0.000    0.000    0.000    0.000 font_manager.py:730(__eq__)
        1    0.000    0.000    0.000    0.000 trf.py:95(<module>)
       47    0.000    0.000    0.000    0.000 contextlib.py:85(__exit__)
        1    0.000    0.000    0.000    0.000 markers.py:105(MarkerStyle)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
        4    0.000    0.000    0.000    0.000 scale.py:69(set_default_locators_and_formatters)
        2    0.000    0.000    0.000    0.000 _base.py:848(_update_transScale)
      987    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
       23    0.000    0.000    0.000    0.000 transforms.py:694(translated)
       15    0.000    0.000    0.000    0.000 {built-in method nt._isdir}
        4    0.000    0.000    0.000    0.000 axis.py:2098(_get_pixel_distance_along_axis)
      234    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
       35    0.000    0.000    0.000    0.000 artist.py:1036(format_cursor_data)
       84    0.000    0.000    0.000    0.000 pyparsing.py:1046(wrapper)
     2221    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
     2304    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(<genexpr>)
       33    0.000    0.000    0.000    0.000 ntpath.py:471(normpath)
        1    0.000    0.000    0.000    0.000 {built-in method gc.collect}
        1    0.000    0.000    0.000    0.000 backend_bases.py:2939(press_zoom)
      264    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       41    0.000    0.000    0.000    0.000 ntpath.py:240(dirname)
       68    0.000    0.000    0.000    0.000 font_manager.py:996(make_rcparams_key)
       30    0.000    0.000    0.000    0.000 font_manager.py:931(copy)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
      542    0.000    0.000    0.000    0.000 pyparsing.py:340(__new__)
       16    0.000    0.000    0.000    0.000 ticker.py:1676(_validate_steps)
        1    0.000    0.000    0.000    0.000 scale.py:1(<module>)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
      268    0.000    0.000    0.000    0.000 enum.py:351(__setattr__)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:3(<module>)
     23/7    0.000    0.000    0.000    0.000 pyparsing.py:3740(streamline)
        9    0.000    0.000    0.000    0.000 __init__.py:540(_get_home)
      216    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.affine_transform}
     2967    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      150    0.000    0.000    0.000    0.000 lines.py:39(_get_dash_pattern)
      514    0.000    0.000    0.000    0.000 core.py:1396(getmask)
      469    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
      101    0.000    0.000    0.000    0.000 font_manager.py:848(set_weight)
        2    0.000    0.000    0.000    0.000 patches.py:675(__init__)
     2520    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       58    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
      187    0.000    0.000    0.000    0.000 backend_qt5.py:249(_dpi_ratio)
       33    0.000    0.000    0.000    0.000 cm.py:28(_reverser)
      115    0.000    0.000    0.000    0.000 figure.py:54(_stale_figure_callback)
       38    0.000    0.000    0.000    0.000 core.py:2850(<listcomp>)
        9    0.000    0.000    0.000    0.000 abc.py:151(register)
      576    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:297(__enter__)
      919    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      101    0.000    0.000    0.000    0.000 font_manager.py:885(set_size)
       23    0.000    0.000    0.000    0.000 lines.py:744(_get_transformed_path)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
       32    0.000    0.000    0.000    0.000 shape_base.py:288(<listcomp>)
        5    0.000    0.000    0.000    0.000 backend_qt5.py:257(get_width_height)
      370    0.000    0.000    0.000    0.000 inspect.py:505(_is_wrapper)
       17    0.000    0.000    0.000    0.000 cbook.py:498(connect)
        1    0.000    0.000    0.000    0.000 _numpy_compat.py:3(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
       61    0.000    0.000    0.000    0.000 fromnumeric.py:2792(round_)
      104    0.000    0.000    0.000    0.000 artist.py:919(set_zorder)
        1    0.000    0.000    0.000    0.000 patches.py:2664(ConnectionStyle)
      305    0.000    0.000    0.000    0.000 lines.py:68(_scale_dashes)
      100    0.000    0.000    0.000    0.000 shape_base.py:11(atleast_1d)
      122    0.000    0.000    0.000    0.000 _methods.py:28(_amin)
     1928    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 colors.py:644(_init)
        5    0.000    0.000    0.000    0.000 linalg.py:449(inv)
       23    0.000    0.000    0.000    0.000 lines.py:730(_transform_path)
       15    0.000    0.000    0.000    0.000 backend_bases.py:2324(mpl_connect)
       32    0.000    0.000    0.000    0.000 cbook.py:1406(popall)
      331    0.000    0.000    0.000    0.000 _util.py:296(<listcomp>)
       26    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
      917    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 backend_tools.py:12(<module>)
        2    0.000    0.000    0.000    0.000 transforms.py:1622(set)
      285    0.000    0.000    0.000    0.000 artist.py:192(convert_xunits)
      464    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       10    0.000    0.000    0.000    0.000 enum.py:855(<listcomp>)
       58    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
      114    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
      784    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        7    0.000    0.000    0.000    0.000 _version.py:114(_compare)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
       43    0.000    0.000    0.000    0.000 transforms.py:381(_get_width)
     1085    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      154    0.000    0.000    0.000    0.000 weakref.py:438(items)
     2262    0.000    0.000    0.000    0.000 artist.py:236(axes)
      331    0.000    0.000    0.000    0.000 _util.py:301(<listcomp>)
      860    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
        2    0.000    0.000    0.000    0.000 _distn_infrastructure.py:3404(get_distribution_names)
       54    0.000    0.000    0.000    0.000 numeric.py:2767(geterr)
      117    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1310(<setcomp>)
      200    0.000    0.000    0.000    0.000 pyparsing.py:1465(set)
        1    0.000    0.000    0.000    0.000 _base.py:421(_AxesBase)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
       81    0.000    0.000    0.000    0.000 transforms.py:2176(get_affine)
        1    0.000    0.000    0.000    0.000 artist.py:1063(ArtistInspector)
       61    0.000    0.000    0.000    0.000 fromnumeric.py:2723(around)
       23    0.000    0.000    0.000    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        3    0.000    0.000    0.000    0.000 colors.py:344(makeMappingArray)
        1    0.000    0.000    0.000    0.000 csv.py:4(<module>)
      144    0.000    0.000    0.000    0.000 lines.py:1039(set_linewidth)
        1    0.000    0.000    0.000    0.000 image.py:782(set_extent)
      589    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      611    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        6    0.000    0.000    0.000    0.000 subprocess.py:873(_get_handles)
       20    0.000    0.000    0.000    0.000 transforms.py:812(unit)
       17    0.000    0.000    0.000    0.000 patches.py:320(_set_facecolor)
     1997    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 version.py:267(LooseVersion)
      121    0.000    0.000    0.000    0.000 transforms.py:2372(transform_non_affine)
       68    0.000    0.000    0.000    0.000 font_manager.py:998(<listcomp>)
       76    0.000    0.000    0.000    0.000 transforms.py:334(_get_xmin)
        5    0.000    0.000    0.000    0.000 backend_bases.py:2049(get_width_height)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
      183    0.000    0.000    0.000    0.000 cbook.py:752(is_numlike)
        1    0.000    0.000    0.000    0.000 path.py:13(<module>)
